condition,bin,rank,head_id,layer
y2_base,64k,3,21-5,21
y2_base,64k,4,19-15,19
y2_base,64k,5,16-0,16
y2_base,64k,6,19-17,19
y2_base,64k,7,16-20,16
y2_base,64k,8,19-6,19
y2_base,64k,9,19-23,19
y2_base,64k,10,18-16,18
y2_base,64k,11,19-18,19
y2_base,64k,12,17-24,17
y2_base,64k,13,21-25,21
y2_base,64k,14,16-14,16
y2_base,64k,15,22-7,22
y2_base,64k,16,18-10,18
y2_base,128k,1,19-22,19
y2_base,128k,2,19-15,19
y2_base,128k,3,19-20,19
y2_base,128k,4,19-17,19
y2_base,128k,5,21-5,21
y2_base,128k,6,19-6,19
y2_base,128k,7,19-23,19
y2_base,128k,8,19-18,19
y2_base,128k,9,21-25,21
y2_base,128k,10,22-7,22
y2_base,128k,11,16-0,16
y2_base,128k,12,20-21,20
y2_base,128k,13,22-25,22
y2_base,128k,14,16-20,16
y2_base,128k,15,22-1,22
y2_base,128k,16,16-14,16
y2_rpe_cur_L16k,0k,1,19-20,19
y2_rpe_cur_L16k,0k,2,12-24,12
y2_rpe_cur_L16k,0k,3,19-15,19
y2_rpe_cur_L16k,0k,4,19-18,19
y2_rpe_cur_L16k,0k,5,11-23,11
y2_rpe_cur_L16k,0k,6,19-22,19
y2_rpe_cur_L16k,0k,7,12-7,12
y2_rpe_cur_L16k,0k,8,18-16,18
y2_rpe_cur_L16k,0k,9,19-23,19
y2_rpe_cur_L16k,0k,10,11-27,11
y2_rpe_cur_L16k,0k,11,16-1,16
y2_rpe_cur_L16k,0k,12,8-24,8
y2_rpe_cur_L16k,0k,13,10-20,10
y2_rpe_cur_L16k,0k,14,18-10,18
y2_rpe_cur_L16k,0k,15,12-12,12
y2_rpe_cur_L16k,0k,16,19-19,19
y2_rpe_cur_L16k,1k,1,19-20,19
y2_rpe_cur_L16k,1k,2,19-15,19
y2_rpe_cur_L16k,1k,3,19-22,19
y2_rpe_cur_L16k,1k,4,19-23,19
y2_rpe_cur_L16k,1k,5,18-16,18
y2_rpe_cur_L16k,1k,6,11-23,11
y2_rpe_cur_L16k,1k,7,19-18,19
y2_rpe_cur_L16k,1k,8,12-7,12
y2_rpe_cur_L16k,1k,9,11-24,11
y2_rpe_cur_L16k,1k,10,12-24,12
y2_rpe_cur_L16k,1k,11,11-27,11
y2_rpe_cur_L16k,1k,12,21-5,21
y2_rpe_cur_L16k,1k,13,19-6,19
y2_rpe_cur_L16k,1k,14,19-19,19
y2_rpe_cur_L16k,1k,15,18-10,18
y2_rpe_cur_L16k,1k,16,14-8,14
y2_rpe_cur_L16k,2k,1,19-15,19
y2_rpe_cur_L16k,2k,2,19-20,19
y2_rpe_cur_L16k,2k,3,18-16,18
y2_rpe_cur_L16k,2k,4,11-24,11
y2_rpe_cur_L16k,2k,5,19-23,19
y2_rpe_cur_L16k,2k,6,19-22,19
y2_rpe_cur_L16k,2k,7,19-18,19
y2_rpe_cur_L16k,2k,8,19-6,19
y2_rpe_cur_L16k,2k,9,11-27,11
y2_rpe_cur_L16k,2k,10,18-10,18
y2_rpe_cur_L16k,2k,11,11-23,11
y2_rpe_cur_L16k,2k,12,16-20,16
y2_rpe_cur_L16k,2k,13,12-7,12
y2_rpe_cur_L16k,2k,14,12-24,12
y2_rpe_cur_L16k,2k,15,14-8,14
y2_rpe_cur_L16k,2k,16,19-19,19
y2_rpe_cur_L16k,4k,1,19-15,19
y2_rpe_cur_L16k,4k,2,19-20,19
y2_rpe_cur_L16k,4k,3,18-16,18
y2_rpe_cur_L16k,4k,4,19-22,19
y2_rpe_cur_L16k,4k,5,19-6,19
y2_rpe_cur_L16k,4k,6,11-24,11
y2_rpe_cur_L16k,4k,7,19-23,19
y2_rpe_cur_L16k,4k,8,16-20,16
y2_rpe_cur_L16k,4k,9,18-10,18
y2_rpe_cur_L16k,4k,10,19-18,19
y2_rpe_cur_L16k,4k,11,14-8,14
y2_rpe_cur_L16k,4k,12,11-27,11
y2_rpe_cur_L16k,4k,13,20-26,20
y2_rpe_cur_L16k,4k,14,19-19,19
y2_rpe_cur_L16k,4k,15,21-5,21
y2_rpe_cur_L16k,4k,16,16-1,16
y2_rpe_cur_L16k,8k,1,19-15,19
y2_rpe_cur_L16k,8k,2,18-16,18
y2_rpe_cur_L16k,8k,3,19-20,19
y2_rpe_cur_L16k,8k,4,19-22,19
y2_rpe_cur_L16k,8k,5,16-20,16
y2_rpe_cur_L16k,8k,6,19-23,19
y2_rpe_cur_L16k,8k,7,19-6,19
y2_rpe_cur_L16k,8k,8,19-18,19
y2_rpe_cur_L16k,8k,9,18-10,18
y2_rpe_cur_L16k,8k,10,11-24,11
y2_rpe_cur_L16k,8k,11,21-5,21
y2_rpe_cur_L16k,8k,12,14-8,14
y2_rpe_cur_L16k,8k,13,16-0,16
y2_rpe_cur_L16k,8k,14,19-19,19
y2_rpe_cur_L16k,8k,15,16-1,16
y2_rpe_cur_L16k,8k,16,24-21,24
y2_rpe_cur_L16k,16k,1,19-20,19
y2_rpe_cur_L16k,16k,2,19-22,19
y2_rpe_cur_L16k,16k,3,16-20,16
y2_rpe_cur_L16k,16k,4,18-16,18
y2_rpe_cur_L16k,16k,5,19-23,19
y2_rpe_cur_L16k,16k,6,19-15,19
y2_rpe_cur_L16k,16k,7,19-6,19
y2_rpe_cur_L16k,16k,8,18-10,18
y2_rpe_cur_L16k,16k,9,21-5,21
y2_rpe_cur_L16k,16k,10,11-24,11
y2_rpe_cur_L16k,16k,11,16-0,16
y2_rpe_cur_L16k,16k,12,19-18,19
y2_rpe_cur_L16k,16k,13,24-21,24
y2_rpe_cur_L16k,16k,14,17-24,17
y2_rpe_cur_L16k,16k,15,19-19,19
y2_rpe_cur_L16k,16k,16,16-1,16
y2_rpe_cur_L16k,32k,1,19-20,19
y2_rpe_cur_L16k,32k,2,19-22,19
y2_rpe_cur_L16k,32k,3,19-15,19
y2_rpe_cur_L16k,32k,4,16-20,16
y2_rpe_cur_L16k,32k,5,19-23,19
y2_rpe_cur_L16k,32k,6,18-16,18
y2_rpe_cur_L16k,32k,7,21-5,21
y2_rpe_cur_L16k,32k,8,19-6,19
y2_rpe_cur_L16k,32k,9,16-0,16
y2_rpe_cur_L16k,32k,10,18-10,18
y2_rpe_cur_L16k,32k,11,14-7,14
y2_rpe_cur_L16k,32k,12,19-17,19
y2_rpe_cur_L16k,32k,13,17-24,17
y2_rpe_cur_L16k,32k,14,11-24,11
y2_rpe_cur_L16k,32k,15,20-17,20
y2_rpe_cur_L16k,32k,16,19-18,19
y2_rpe_cur_L16k,64k,1,19-20,19
y2_rpe_cur_L16k,64k,2,19-22,19
y2_rpe_cur_L16k,64k,3,19-15,19
y2_rpe_cur_L16k,64k,4,16-20,16
y2_rpe_cur_L16k,64k,5,16-0,16
y2_rpe_cur_L16k,64k,6,19-23,19
y2_rpe_cur_L16k,64k,7,21-5,21
y2_rpe_cur_L16k,64k,8,19-17,19
y2_rpe_cur_L16k,64k,9,18-16,18
y2_rpe_cur_L16k,64k,10,18-10,18
y2_rpe_cur_L16k,64k,11,19-6,19
y2_rpe_cur_L16k,64k,12,17-24,17
y2_rpe_cur_L16k,64k,13,21-25,21
y2_rpe_cur_L16k,64k,14,20-17,20
y2_rpe_cur_L16k,64k,15,16-14,16
y2_rpe_cur_L16k,64k,16,24-21,24
y2_rpe_cur_L16k,128k,1,19-20,19
y2_rpe_cur_L16k,128k,2,19-22,19
y2_rpe_cur_L16k,128k,3,19-15,19
y2_rpe_cur_L16k,128k,4,21-5,21
y2_rpe_cur_L16k,128k,5,19-17,19
y2_rpe_cur_L16k,128k,6,19-23,19
y2_rpe_cur_L16k,128k,7,19-6,19
y2_rpe_cur_L16k,128k,8,16-0,16
y2_rpe_cur_L16k,128k,9,16-20,16
y2_rpe_cur_L16k,128k,10,24-21,24
y2_rpe_cur_L16k,128k,11,20-17,20
y2_rpe_cur_L16k,128k,12,18-10,18
y2_rpe_cur_L16k,128k,13,21-25,21
y2_rpe_cur_L16k,128k,14,19-18,19
y2_rpe_cur_L16k,128k,15,21-14,21
y2_rpe_cur_L16k,128k,16,19-19,19
published_zeroshot,(NQ),1,16-19,16
published_zeroshot,(NQ),2,16-2,16
published_zeroshot,(NQ),3,16-20,16
published_zeroshot,(NQ),4,16-14,16
published_zeroshot,(NQ),5,16-0,16
published_zeroshot,(NQ),6,15-24,15
published_zeroshot,(NQ),7,16-18,16
published_zeroshot,(NQ),8,17-18,17
published_zeroshot,(NQ),9,16-1,16
published_zeroshot,(NQ),10,19-18,19
published_zeroshot,(NQ),11,19-19,19
published_zeroshot,(NQ),12,18-16,18
published_zeroshot,(NQ),13,16-17,16
published_zeroshot,(NQ),14,19-25,19
published_zeroshot,(NQ),15,19-17,19
published_zeroshot,(NQ),16,20-21,20
